wkt_geom;CODE SRO;PRISES;ZONE NRO
Polygon ((829149.59745497419498861 6910478.49039640091359615, 830257.47606609354261309 6912280.46601717080920935, 830938.92429920088034123 6914585.73390025924891233, 832084.56587941315956414 6916228.44302514661103487, 833796.15759527066256851 6915758.01932321023195982, 834180.26555840473156422 6915615.88642094470560551, 834458.46859747287817299 6915195.73132347874343395, 835031.88112596957944334 6915121.7129346951842308, 835708.55890232126694173 6915376.48871141765266657, 835746.79394152667373419 6915750.98611185606569052, 835955.62562132661696523 6915812.30245331302285194, 836044.02568625274579972 6915608.61885216645896435, 836208.37507907673716545 6915728.95723151043057442, 836435.17661175259854645 6915133.38821261748671532, 836637.34134817065205425 6915207.88175823353230953, 836409.39908413705416024 6914866.22939708456397057, 836546.37612454802729189 6914878.63015289977192879, 836870.23453747027087957 6914330.38371823448687792, 837132.00765887415036559 6913814.81027106568217278, 837356.48718697065487504 6913419.26297508552670479, 837912.09880982316099107 6911779.71629138104617596, 838770.63939086080063134 6911276.89721393585205078, 838018.15902127348817885 6910566.56946587283164263, 838110.87600266607478261 6909958.4991826768964529, 838670.75304700736887753 6910187.59984195791184902, 839262.36570723226759583 6908883.04440663475543261, 838399.1887058112770319 6908576.24717553984373808, 837802.77453220472671092 6908098.36336697079241276, 836611.81096862768754363 6908639.73442199267446995, 837042.68224901449866593 6907996.98070733435451984, 836259.18046182685066015 6907569.31074826512485743, 835943.83843049197457731 6906449.25986276101320982, 835554.2436159678036347 6906060.00657912064343691, 835946.52288796240463853 6905752.56652655266225338, 836021.45176911074668169 6905043.62153326254338026, 836084.51277580508030951 6904825.05124227330088615, 835902.59143366396892816 6904640.16296766884624958, 835583.02873508201446384 6904920.72099142428487539, 834298.55865174042992294 6905210.41884845774620771, 833848.91040944226551801 6905506.15285356529057026, 833465.42883844126481563 6905334.59335284121334553, 833045.80589087144471705 6905595.11059528682380915, 833226.66555680811870843 6905999.69268123432993889, 831717.09026099636685103 6905302.87858093716204166, 831247.92630926892161369 6906711.88855814840644598, 831058.60639313934370875 6906426.28618966229259968, 830519.46100996318273246 6906235.94597870111465454, 829149.59745497419498861 6910478.49039640091359615));NRO_08_001_059;600;NRO_08_001
Polygon ((832234.86274628026876599 6919010.46724055148661137, 831130.1381681562634185 6917999.47250050120055676, 832084.42700045718811452 6916234.19438917189836502, 830931.46131199854426086 6914572.2344015808776021, 830249.85824872786179185 6912265.05518206674605608, 829154.22053177375346422 6910519.0191368730738759, 827489.28084948158357292 6909954.93286632187664509, 826305.38035491027403623 6910376.16661828197538853, 825266.53177813941147178 6914519.59308056533336639, 826377.63911869307048619 6916869.02866414003074169, 826339.11570372409187257 6917065.21433182246983051, 826134.26704993308521807 6917486.20841263514012098, 826186.02685664093587548 6917871.4471730338409543, 826528.81367366691119969 6917692.85117173846811056, 826943.32694949663709849 6917731.35716992430388927, 827020.86015005607623607 6917968.94478102214634418, 827255.23123954981565475 6917800.18346392922103405, 827917.25971009116619825 6919116.62562598846852779, 828761.60711216856725514 6920698.96522861625999212, 827046.14492403948679566 6921021.12974201235920191, 827025.88594363396987319 6921214.02054345421493053, 827440.45066765428055078 6921493.34328691568225622, 827319.87501279124990106 6921694.24280990101397038, 827761.5673219533637166 6921761.87774786632508039, 828048.86576095758937299 6921718.55601518601179123, 828045.71609181817620993 6921552.57723149377852678, 828061.972603345871903 6921510.27721295319497585, 828292.06856848334427923 6921284.61766684148460627, 828650.2633751017274335 6921098.6596050476655364, 829152.5645819054916501 6921152.31479760073125362, 829291.02841546502895653 6920790.82783437985926867, 829405.7190471482463181 6920912.72895219828933477, 829590.12739531486295164 6920826.80222077574580908, 829810.34109992883168161 6920352.64697203785181046, 830155.26263016520533711 6920151.6538949478417635, 830493.88876489375252277 6920191.25088747497648001, 830241.86141686432529241 6920825.23833801597356796, 830284.20312548358924687 6921480.74023693520575762, 831153.0606688188854605 6921413.51566183660179377, 831934.64103900687769055 6920683.74469230230897665, 832032.11797218234278262 6920250.99328869581222534, 831805.48904377140570432 6920100.54244241956621408, 831927.1707048024982214 6919232.37133492156863213, 832234.86274628026876599 6919010.46724055148661137));NRO_08_001_123;629;NRO_08_001
Polygon ((815669.76615793700329959 6910127.27715827152132988, 815768.13667950429953635 6910416.75945877935737371, 816417.44926394638605416 6911037.36533951014280319, 816760.95004913664888591 6911463.0070529393851757, 816896.2781032674247399 6911363.9002373218536377, 823444.53932012489531189 6913415.09877645131200552, 824100.64287978317588568 6913803.72990781534463167, 824220.38147951778955758 6913821.30966960359364748, 824313.40570182865485549 6913829.59252848848700523, 824371.86610847525298595 6913819.97896300069987774, 824478.49323726410511881 6913772.31703871954232454, 825449.384775654762052 6913790.28761145751923323, 826324.28241755929775536 6910366.22371274512261152, 827501.89689780457410961 6909953.02968388702720404, 829131.65132136410102248 6910499.55392361059784889, 830523.4101422131061554 6906229.65056767873466015, 830442.01328650664072484 6906199.00885767117142677, 830411.11807859921827912 6906080.77117898128926754, 830140.4388420075410977 6906076.18998077977448702, 829934.97009980818256736 6906101.23311453498899937, 829840.44664148567244411 6906178.02322232816368341, 829736.1843024663394317 6906129.65275448374450207, 829552.97192533884663135 6906213.11745130736380816, 829389.69415271282196045 6906223.05781554523855448, 829157.94720902328845114 6906483.13100570812821388, 828607.1822044268483296 6906395.12557920813560486, 828516.17925473442301154 6906418.40311936009675264, 828335.40255740575958043 6906319.88096309173852205, 828175.23107742716092616 6906359.63761681970208883, 827986.71505419933237135 6906286.71505420096218586, 827696.25201588112395257 6906024.227861313149333, 827378.25729412434156984 6906276.60378783382475376, 827022.71460879209917039 6906037.5699161309748888, 826930.63409451977349818 6906248.13158168829977512, 827136.47385262290481478 6906313.62837085500359535, 826561.37893516349140555 6906645.54224396776407957, 825779.6621784478193149 6907217.90193548146635294, 825755.16660652449354529 6907375.83896737452596426, 824936.46621551376301795 6906976.6405573645606637, 824079.53227661235723644 6907053.82513715792447329, 824053.4129268282558769 6907535.00294236186891794, 823069.55444928409997374 6907711.56276585441082716, 822807.12600150739308447 6907652.91498399619013071, 822263.79165420855861157 6907238.54216332547366619, 822038.44104658428113908 6906496.92904151882976294, 821604.26927095872815698 6905961.99675252940505743, 821645.82154437678400427 6905939.16005555912852287, 820916.43084663758054376 6905809.02608305308967829, 820385.49865064350888133 6905595.72118904255330563, 819938.00357315968722105 6904979.95767684001475573, 819045.55213894613552839 6904788.7474776254966855, 818893.26969499455299228 6905169.95801851525902748, 818587.19169738166965544 6905275.99005095567554235, 818379.18038055335637182 6905158.29715189710259438, 817817.4364112785551697 6905482.07888489961624146, 817940.82720690523274243 6905574.00999781768769026, 817899.14503968739882112 6905815.30005088727921247, 817999.51699430390726775 6905912.54818851687014103, 817943.90278780274093151 6906435.74753550346940756, 817855.17997391393873841 6906504.43468446843326092, 817949.28968828590586782 6906664.04253370780497789, 817796.36822596786078066 6906756.2587885782122612, 817804.60536808904726058 6906867.83492811396718025, 817635.10594089014921337 6906867.27163380570709705, 817271.78577082837000489 6907608.49383839499205351, 817207.26805907906964421 6907620.99318666476756334, 817187.84365115792024881 6907656.87453603744506836, 817367.37968569598160684 6907749.36914568301290274, 817044.17002171860076487 6908294.7367614172399044, 817204.82545524369925261 6908349.89231995120644569, 817000.25431664171628654 6908674.34463002625852823, 816963.8871572136413306 6908779.33883745409548283, 817133.12973086850252002 6908868.03025262150913477, 816966.67546015023253858 6908967.29061286803334951, 816744.01752294425386935 6908933.26712869573384523, 816656.19918432121630758 6909006.82233576849102974, 816431.80767340050078928 6908964.80938636884093285, 816356.0982279108138755 6909098.62461133673787117, 816085.20087594049982727 6909099.67335276491940022, 816095.20382210100069642 6909316.30746951047331095, 815927.77335880615282804 6909363.28369762748479843, 815878.15448784083127975 6909570.68524901941418648, 815783.06932795338798314 6909687.63706307113170624, 816058.40617116203065962 6909995.79816345684230328, 815669.76615793700329959 6910127.27715827152132988));NRO_08_001_062;412;NRO_08_001
Polygon ((826377.64686119393445551 6916877.30114936828613281, 826223.13087039394304156 6916530.25553552899509668, 825261.6793462474597618 6914509.39382081385701895, 825428.33803267532493919 6913787.27105088531970978, 824482.15412760770414025 6913774.05601682886481285, 824377.94191078888252378 6913821.21697091683745384, 824314.45488887617830187 6913832.3812326630577445, 824221.08495612745173275 6913822.98448342550545931, 824173.74274398118723184 6913805.91768715437501669, 824094.58272662106901407 6913806.41909561213105917, 824037.32913687475956976 6913760.18829490896314383, 823453.375522869406268 6913422.31125975027680397, 816920.68634585582185537 6911384.67659145221114159, 817369.47149652615189552 6911654.51792030315846205, 816844.74808332277461886 6911624.82373444736003876, 816942.96593745495192707 6911754.39467040076851845, 817189.77580840955488384 6911832.95400311332195997, 817066.55608872673474252 6912184.39583452232182026, 817258.5846289856126532 6912195.14242312777787447, 817218.1931790072703734 6912313.8513609878718853, 817255.42659866332542151 6912606.48248715419322252, 816949.48516209644731134 6912759.14200414810329676, 817133.70809339918196201 6913090.6969502279534936, 817038.47926533035933971 6913546.30586978700011969, 817611.21595411945600063 6913743.9725789362564683, 817336.45828786224592477 6914128.19355478137731552, 817103.75018179416656494 6914330.59839583374559879, 817161.37354781781323254 6915263.0191136272624135, 817324.8487104115774855 6916149.19467443693429232, 817969.94026844459585845 6917066.77205799613147974, 819160.95658364507835358 6918090.20484589599072933, 820271.15012471564114094 6917964.22594392020255327, 820427.7605306914774701 6917560.31862489227205515, 821199.48963089985772967 6917959.3792326794937253, 821607.90776772599201649 6917483.56902890000492334, 822304.25560380890965462 6918105.13992647081613541, 822780.37901042739395052 6919111.95929758809506893, 823402.55008853902108967 6919168.37200965266674757, 823969.06386476580519229 6917690.02485538646578789, 824348.81300164805725217 6917913.69115286506712437, 825388.83214034338016063 6917888.04045399557799101, 825415.130497528007254 6917163.01152623072266579, 825941.26180917536839843 6917046.31877353973686695, 826377.64686119393445551 6916877.30114936828613281));NRO_08_001_063;388;NRO_08_001
Polygon ((849290.29993241466581821 6910205.2213565381243825, 848825.76478377811145037 6910048.84552804008126259, 848033.99900155956856906 6909819.26028348971158266, 847713.17912943242117763 6909919.91467082407325506, 847745.79532247479073703 6910075.29027838166803122, 847560.04746971919666976 6910207.19689549412578344, 847190.50310655601788312 6909897.8027614401653409, 846723.61789619491901249 6909775.47258285991847515, 845351.90787659306079149 6908985.02286035940051079, 845585.64762801490724087 6908568.50413759425282478, 845159.2697056052275002 6908241.79348762147128582, 844365.3720043352805078 6907733.29759065248072147, 843547.56594413379207253 6907403.22357641905546188, 843070.94671803701203316 6907054.88331358693540096, 842784.21677175676450133 6906226.47348858322948217, 842105.00840319984126836 6905852.48333009332418442, 842026.73954075609799474 6906374.8331193383783102, 841550.33418666571378708 6906656.78219595272094011, 840600.8381930977338925 6907036.98037086240947247, 839859.68724932940676808 6907504.68302484974265099, 840809.60809906420763582 6908357.99631160032004118, 840676.61049391236156225 6908626.51672856509685516, 839639.63892354071140289 6908417.1908549340441823, 839492.65757408051285893 6908537.83765873964875937, 840035.1478064120747149 6909131.50257715675979853, 839273.39928836957551539 6908918.53720477502793074, 838663.55430545122362673 6910172.62597265467047691, 838127.38825477310456336 6909959.97514340281486511, 838043.16664054291322827 6910590.17620247323065996, 848058.79683150595519692 6913881.61256585270166397, 848612.9513961928896606 6912905.62376032955944538, 848210.51344051398336887 6912791.75476169027388096, 848382.28595541592221707 6912539.01752036157995462, 849353.59449003846384585 6912370.17404238879680634, 849556.49127394333481789 6912496.65370130073279142, 849817.63743619644083083 6911946.90825772285461426, 849114.33588039176538587 6911450.0323594156652689, 849290.29993241466581821 6910205.2213565381243825));NRO_08_002_126;303;NRO_08_002
Polygon ((848045.05532787647098303 6913881.77823659777641296, 838046.02744548092596233 6910568.76979370042681694, 838789.63468403369188309 6911262.06968130823224783, 837908.13745853526052088 6911773.22585316002368927, 837364.73552918981295079 6913398.26906347181648016, 836984.52260514989029616 6914121.88806278631091118, 836807.11512252851389349 6914495.99934051744639874, 838652.64904316083993763 6915114.11580062191933393, 839052.71373344748280942 6916185.72188103012740612, 838895.08030333765782416 6917809.81652210466563702, 839921.00301597139332443 6920082.6646560188382864, 840443.59662690327968448 6920006.91425514779984951, 840719.50987143197562546 6919738.50631472747772932, 841480.64121824153698981 6919805.95344500243663788, 842392.53365081094671041 6919281.10382125433534384, 842436.99016778718214482 6918931.28064402192831039, 843129.51148414704948664 6918054.19327802211046219, 843782.44368655688595027 6917322.57538630720227957, 845239.92254958383273333 6916786.09752293583005667, 845826.65376237302552909 6916782.37989797070622444, 846657.69031134678516537 6916066.4534623995423317, 847019.93875366309657693 6916157.51902300491929054, 847315.05154947901610285 6915944.05922010540962219, 847637.5935095411259681 6915937.04779312293976545, 848202.95629021315835416 6914833.96409953664988279, 847360.05983588844537735 6914226.14674270898103714, 847508.33131886855699122 6913985.14321787655353546, 848045.05532787647098303 6913881.77823659777641296));NRO_08_002_054;475;NRO_08_002
Polygon ((838647.65483824303373694 6915123.78933971468359232, 836822.06012958032079041 6914504.27610401716083288, 836568.97834814200177789 6914910.3045038478448987, 836442.25791457190643996 6914892.7249225378036499, 836636.23091869824565947 6915207.47258782014250755, 836468.25812881509773433 6915141.73699257802218199, 836255.7803738045040518 6915716.69037734903395176, 836053.61993814480956644 6915672.67441971320658922, 835982.79248223756439984 6915807.82096762210130692, 835747.36128763551823795 6915772.87050535250455141, 835675.31538458680734038 6915383.83191778417676687, 835046.34066091501154006 6915154.99438941478729248, 834437.29303359671030194 6915225.12823027558624744, 834198.41438303492031991 6915583.16246949974447489, 832102.29013420350383967 6916217.92288600187748671, 831134.96099062997382134 6918058.04195801448076963, 832271.48831086466088891 6919027.53174486756324768, 831934.50189879769459367 6919262.32406445406377316, 831801.13392161170486361 6920120.41154695022851229, 832042.92609327100217342 6920273.02373941242694855, 831969.57529848255217075 6920627.95244129560887814, 831487.6835431483341381 6921099.73596428520977497, 831613.01929268799722195 6921216.22883434034883976, 832124.8525955353397876 6920703.99679085146635771, 832317.33107224549166858 6920718.38472333736717701, 832316.63909284980036318 6920917.65734438225626945, 832671.59878528630360961 6921040.34419410489499569, 833054.81935108278412372 6921672.55484245251864195, 833588.61978386016562581 6921703.37593365553766489, 833657.26763297698926181 6921439.77842683717608452, 834396.98256127419881523 6921600.46363467071205378, 833995.6605309066362679 6923271.05954768229275942, 834801.15057223848998547 6923299.9551607696339488, 835290.62854701187461615 6923579.62806438468396664, 835748.07517467718571424 6923261.29883800726383924, 835806.45363704755436629 6922536.54234980884939432, 836385.29598092229571193 6922429.68616434466093779, 836545.51078426360618323 6922103.9574457798153162, 836778.02704385109245777 6922042.28768502455204725, 837063.94715957518201321 6922510.66675658617168665, 837126.16875788127072155 6922213.01916580833494663, 837491.48069520492572337 6921889.75264497101306915, 838067.00123435480054468 6921516.38606954272836447, 838187.24771515524480492 6921679.19830947369337082, 838362.97692645050119609 6921643.338306431658566, 838465.19858203153125942 6921365.49857042450457811, 838523.04112789477221668 6921138.72016222402453423, 838874.05343100149184465 6920992.81429310794919729, 838532.99153497233055532 6920789.30697958543896675, 839161.73234497639350593 6919890.81982020940631628, 839582.68751349323429167 6920109.41903642471879721, 839750.08549560990650207 6920181.82477592676877975, 839909.50599877315107733 6920080.56707811541855335, 838891.85825479927007109 6917819.27584848180413246, 839038.18658811924979091 6916180.0878774905577302, 838647.65483824303373694 6915123.78933971468359232));NRO_08_002_125;471;NRO_08_002
Polygon ((850636.47758688824251294 6920819.82874580938369036, 849695.03469979076180607 6921073.46489964704960585, 849176.94848063681274652 6920469.63109817914664745, 849429.76385574857704341 6919850.29265000764280558, 849007.52293894556351006 6919164.24226516112685204, 848441.02217126043979079 6918539.03687558230012655, 848498.75240014283917844 6918346.22703638393431902, 847883.01823843491729349 6917526.90048756264150143, 847312.51485788566060364 6917061.73582504689693451, 847281.54780270939227194 6916756.07793525606393814, 847510.76948832219932228 6916583.45830214116722345, 847424.59347998909652233 6916084.36843024101108313, 847522.79009946528822184 6915991.69510529935359955, 847310.24248120444826782 6915956.29990064352750778, 847037.28742081881500781 6916172.39691912569105625, 846691.72223835554905236 6916075.00874145608395338, 845835.27886470360681415 6916780.05074793566018343, 845268.82104532024823129 6916767.27036971040070057, 843814.11559804191347212 6917298.50275531690567732, 842431.78420005668886006 6918938.02280564792454243, 842395.26959021366201341 6919291.59503713436424732, 841511.54513587278779596 6919787.6454340098425746, 840764.50546472182031721 6919760.51936493348330259, 843895.18920766562223434 6922660.91547255031764507, 842446.76656213053502142 6923873.85342847835272551, 844888.49173808563500643 6926634.08966562710702419, 847619.16827501938678324 6924810.53415277507156134, 852047.89535536721814424 6925396.95623526629060507, 851149.77441555925179273 6924763.16234206594526768, 851291.03723783337045461 6924554.43645950593054295, 851703.67230464203748852 6924374.84685943275690079, 851444.01240404997952282 6924145.87794770114123821, 852078.1861143879359588 6923817.67239554785192013, 852185.12125564541202039 6923602.47467194870114326, 852270.7176193562336266 6923621.80417951941490173, 852437.43445494282059371 6923377.55585249979048967, 852582.44741577131208032 6923385.66284920927137136, 852621.69662762805819511 6923188.73222701624035835, 852796.21566231467295438 6923156.23514146916568279, 852408.35991216625552624 6922620.83661270048469305, 852498.75177031732164323 6922297.9313368396833539, 852585.24063094519078732 6921864.42431627027690411, 852169.51135542115662247 6921569.06675828527659178, 852096.00422800774686038 6921344.48581183515489101, 851753.2058409966994077 6920958.40471199806779623, 851482.64180348417721689 6920942.24716069735586643, 851253.36045935680158436 6921151.6570864487439394, 850636.47758688824251294 6920819.82874580938369036));NRO_08_003_127;324;NRO_08_003
Polygon ((850017.02491850079968572 6934634.65200081467628479, 850320.40065415506251156 6933897.69824995845556259, 850813.43780383700504899 6933832.02870463859289885, 851081.33863050118088722 6933293.41635074000805616, 851049.20489446131978184 6932111.6775357685983181, 851472.45168402569834143 6931624.15707746706902981, 851222.88060028129257262 6930982.06785407476127148, 851364.32998474803753197 6930768.33544081728905439, 851804.16142757725901902 6931132.13597672898322344, 851975.58720389567315578 6930956.39169231057167053, 852539.41988285642582923 6931029.25933700706809759, 852699.69186808459926397 6931138.99577958323061466, 853122.71948253025766462 6930735.40758314821869135, 852829.26471655932255089 6930399.26555165089666843, 852901.71775291836820543 6929884.1778064826503396, 852747.68250682903453708 6929267.14336772076785564, 852306.38260354683734477 6929254.72178180236369371, 852480.62991233903449029 6928504.30172436125576496, 852875.08196160732768476 6927710.73834525141865015, 852727.70446286676451564 6927177.72800193261355162, 853575.97244992619380355 6926749.7760439133271575, 853330.0521165260579437 6926312.21589381899684668, 853005.23169579892419279 6926033.61847763974219561, 852236.13021955848671496 6925915.49906874541193247, 852041.09309083060361445 6925383.10282318573445082, 847605.26239970861934125 6924817.99062078725546598, 844910.28329862665850669 6926619.5371839152649045, 844365.49757461820263416 6928942.18074212502688169, 844313.59332249499857426 6932366.98818916920572519, 845513.54891773255076259 6933271.39214657060801983, 846210.50165977026335895 6935178.01975121814757586, 847057.98106226208619773 6935590.1619096752256155, 847315.68164648464880884 6935166.29987414181232452, 847584.6586902862181887 6935436.10827073827385902, 847929.17820140533149242 6935379.82468499522656202, 848627.66980965284164995 6935716.94804179389029741, 848782.79705425712745637 6935656.54728470928966999, 849243.64186185109429061 6935878.7870757719501853, 849177.87824362062383443 6935416.27624567691236734, 849778.10121157160028815 6935042.20555112138390541, 850017.02491850079968572 6934634.65200081467628479));NRO_08_003_044;343;NRO_08_003
Polygon ((839546.44585561961866915 6928710.09927184320986271, 840383.05090410087723285 6929970.21857723873108625, 839117.9015753457788378 6931516.31226466596126556, 837678.75153527641668916 6933457.99573642946779728, 838358.4860283681191504 6934851.54246150515973568, 838022.97018214978743345 6935329.67895679641515017, 837960.69520949188154191 6935515.70090608205646276, 838038.81212102214340121 6935716.73608781024813652, 837638.65738951892126352 6935711.74622277822345495, 837427.18795922375284135 6935992.51476073544472456, 838002.59515594411641359 6936426.70219221245497465, 838243.27139085636008531 6936822.85080109070986509, 838093.670969866681844 6938285.95560970436781645, 838411.55321404407732189 6938912.87715986277908087, 838514.08202495600562543 6938922.07967119477689266, 838776.12758692284114659 6939331.85402378346771002, 839087.52699591440614313 6939001.23195101972669363, 839382.19012944074347615 6939106.44525768142193556, 839708.845824308344163 6938943.28487682715058327, 839874.941468799370341 6939193.75738510210067034, 840328.3169257661793381 6939333.43573461100459099, 840677.13833806081674993 6939745.47290464397519827, 841062.4187006305437535 6939471.28499759547412395, 841257.71569545834790915 6939560.05202955473214388, 841533.90790840319823474 6939044.93547892477363348, 841769.29837468359619379 6938872.36890927888453007, 842239.87707730382680893 6939044.68212796561419964, 842590.22642933705355972 6939275.40876772534102201, 842764.93898228195030242 6939027.27200193516910076, 843202.01917943230364472 6938845.01844565756618977, 843209.23660779534839094 6938385.83235469646751881, 843374.75998492445796728 6938356.89429251477122307, 843576.81159483059309423 6938408.69042898528277874, 843810.0822466432582587 6937979.56595796905457973, 843910.37301838432904333 6937982.35405890550464392, 844691.68646645080298185 6937584.45592208486050367, 845614.25605377706233412 6936761.25691890064626932, 846234.98638269666116685 6936188.9089338006451726, 846198.92148000793531537 6935997.06670360267162323, 845465.74037300632335246 6935747.60614767856895924, 845430.81887110788375139 6935641.29597178567200899, 845929.24614944774657488 6935039.875137560069561, 846201.06235900695901364 6935156.48534028884023428, 846024.45389500795863569 6934629.38754462730139494, 845492.75076934765093029 6933274.91144997626543045, 844288.54792089760303497 6932373.83064878080040216, 844367.60737043933477253 6928921.71927680633962154, 844578.67356790672056377 6928021.5434472318738699, 842192.86399529688060284 6927845.16512799821794033, 839546.44585561961866915 6928710.09927184320986271));NRO_08_003_157;316;NRO_08_003
